profile_url,name,country,gender,open_2025_rank_worldwide,backsquat,chad1000x,cleanandjerk,deadlift,fightgonebad,filthy50,fran,grace,helen,l1benchmark,maxpullups,murph,run5k,snatch,sprint400m
https://games.crossfit.com/athlete/1385813,Seyed Hossein Arabshahi,Iran,Men,3896,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2051075,Hyun Sung Shin,"Korea, Republic of",Men (35-39),4998,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2238253,Leonardo Vindas,Costa Rica,Men,1120,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/129340,Dylan Mitai,New Zealand,Men (35-39),2003,150,,,185,,,2:36,3:10,7:40,,,,,,
https://games.crossfit.com/athlete/721039,Vincent Camps,United States,Men,2217,390,,280,430,408,18:39,2:34,1:57,7:33,,,,18:25,215,1:03
https://games.crossfit.com/athlete/1570019,Mitchell Minton,United States,Men,1593,450,,335,515,,,,,,,,,,265,
https://games.crossfit.com/athlete/697475,John Wood,United States,Men,214,475,,385,575,,,,,,,70,,,300,
https://games.crossfit.com/athlete/1007577,Emiliano Morales,Canada,Men,794,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/269229,Angelo Brussich,United States,Men,507,455,,335,650,412,,2:22,1:35,,,60,,21:30,275,1:00
https://games.crossfit.com/athlete/1271103,Evan Rogers,United States,Men,249,,,,,,,,,,,,,,,
