profile_url,name,country,gender,backsquat,cleanandjerk,deadlift,snatch,fran,maxpull-ups,run5k,fightgonebad,filthy50,grace,helen,sprint400m,murph,chad1000x,l1benchmark,runrowrunrx,run400m,runrowrunsprint,runrowrunscaled
https://games.crossfit.com/athlete/1613057,Salomon Mantel,Netherlands,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2442759,Matthew Hillary,United Kingdom,Men,170,110,210,80,3:46,40,20:43,340,,,,1:13,42:55,,,,,,
https://games.crossfit.com/athlete/682128,Warwick Rowley,Zimbabwe,Men,,,210,115,2:45,,21:05,,,,,,,,,,,,
https://games.crossfit.com/athlete/2387922,Jared Wortman,United States,Men,400,260,415,175,2:36,45,,,,,,,,,,,,,
https://games.crossfit.com/athlete/126813,Craig Kenney,United States,Men (35-39),,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/258575,Ruben Torbay Yanez,Ecuador,Men,465,325,465,250,2:00,65,20:00,,,2:14,8:03,,,,,,,,
https://games.crossfit.com/athlete/635492,Julio Rodriguez Jr.,United States,Men,460,335,575,265,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/225262,Chris Killian,United States,Men (35-39),450,335,500,270,2:15,65,,,,,,,,,,,,,
https://games.crossfit.com/athlete/643581,Janis Ozolins,Latvia,Men (35-39),,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/738741,Jeffrey Flood,Ireland,Men,170,140,230,110,,,19:21,,,,,,,,,,,,
https://games.crossfit.com/athlete/2261678,Daniel Martinez,Venezuela,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1961211,James McGowan,Australia,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1680904,Jack West,United Kingdom,Men,202,130,269,102,,,19:44,,,,,,,,,,,,
https://games.crossfit.com/athlete/19269,Cody Anderson,United States,Men,460,320,510,255,2:06,73,22:33,489,16:18,1:40,7:47,0:59,,,,,,,
https://games.crossfit.com/athlete/928693,Rye Mcglothin,United States,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1556330,Josh Martinez,United States,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/263860,Evgeny Zakharov,New Zealand,Men (45-49),,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/203300,Josh Santhou,Australia,Men (35-39),200,150,245,125,2:11,,19:00,,,1:38,7:56,,,,,,,,
https://games.crossfit.com/athlete/1111082,Huaqiang Chen,China,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1028930,Elliot Grace,Australia,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2581531,Olly Allen,United Kingdom,Men,185,120,190,95,,,,,,,,,,,,,,,
