profile_url,name,country,gender,backsquat,cleanandjerk,deadlift,grace,snatch,fran,maxpull-ups,fightgonebad,filthy50,helen,run5k,chad1000x,sprint400m,l1benchmark,murph,run400m
https://games.crossfit.com/athlete/1850623,Jordan Powell,United Kingdom,Men,170,120,205,,95,,,,,,,,,,,
https://games.crossfit.com/athlete/1166603,Nick Miller,United States,Men,405,285,505,,225,5:13,,,,,,,1:14,,,
https://games.crossfit.com/athlete/1727543,Pierre Demule,France,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/833457,Joe Munno,United States,Men (35-39),,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/269229,Angelo Brussich,United States,Men,455,335,650,1:35,275,2:22,60,412,,,21:30,,1:00,,,
https://games.crossfit.com/athlete/1071403,Cody Davison,New Zealand,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/255163,Michael Laverriere,Canada,Men (40-44),480,345,645,,270,,,,,,18:15,,,,,
https://games.crossfit.com/athlete/1637041,Luis Echegaray,Venezuela,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1264522,João Kupper,Brazil,Men,200,164,225,2:04,125,2:09,70,,,9:32,20:53,,1:30,,,
https://games.crossfit.com/athlete/194540,Vincent Buttitta,United States,Men (35-39),500,340,490,,255,2:05,,,,,,,,,,
https://games.crossfit.com/athlete/1457627,Kris Kellas,United Kingdom,Men (35-39),,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1609275,Ryan Brown,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/552232,Kevin Steinhaus,United States,Men (35-39),475,345,555,1:12,275,,,,,,18:52,,,,,
https://games.crossfit.com/athlete/1753938,Dareios Linss,United States,Men,445,315,605,2:27,230,2:26,,,,8:40,20:50,,,,,
https://games.crossfit.com/athlete/238219,Norman Woodring,United States,Men (35-39),505,350,600,1:45,265,2:14,,450,17:30,,18:25,,,,,
https://games.crossfit.com/athlete/8551,Julian Serna,Colombia,Men (40-44),,265,,1:35,195,2:12,55,,,,,,,,,
